book_id,predicted_score,user_id
"[1439216, 1051797, 1038267, 1255625, 1421921, 1079440, 1101607, 2282081]","[2.9420764446258545, 2.902712345123291, 2.8971760272979736, 2.979452133178711, 2.734583854675293, 2.8542380332946777, 2.980593681335449, 3.135195255279541]",1003254
"[1045818, 1254588, 1313124, 1085021, 1063624, 1061977, 1781120, 1027191, 1859140, 1037602, 1046265, 3315879, 1258490, 1858576, 1000445, 1867642, 1141406, 1020961, 3662594, 1460313, 1090043, 1056315, 1032645, 1083474, 1270508]","[2.8922119140625, 3.099895477294922, 3.034226894378662, 3.0316660404205322, 2.862262725830078, 3.1201565265655518, 3.270325183868408, 3.887960910797119, 2.922905683517456, 3.0363848209381104, 3.1953351497650146, 3.416402816772461, 3.2120280265808105, 3.0804879665374756, 2.807974338531494, 2.9375228881835938, 2.6692981719970703, 3.189727783203125, 2.8991448879241943, 2.6654465198516846, 3.164623498916626, 3.191746473312378, 3.1771399974823, 3.0934786796569824, 3.152045726776123]",1003843
"[1085860, 1022060, 1069685, 1052380, 1223575, 1152701, 1212893, 1014278, 1012039, 1003284, 1008357, 1082582, 1062134, 1090043]","[3.6251907348632812, 3.399531841278076, 3.524010181427002, 3.6671388149261475, 3.2775354385375977, 3.753659248352051, 3.481241226196289, 3.407198429107666, 3.6617376804351807, 3.786193609237671, 3.397130012512207, 3.5370736122131348, 3.7825446128845215, 3.516141891479492]",1005070
"[1003284, 1255625, 1089243]","[2.9114151000976562, 3.022562265396118, 3.025130271911621]",1005080
"[1255625, 1090043, 1046265, 2250587, 1012747, 1036243, 1291809, 1017143, 1047851, 1031740, 2257188, 2149655, 1039752, 1028916]","[3.046170949935913, 3.2278902530670166, 3.2753076553344727, 3.1030280590057373, 2.707125663757324, 2.758927822113037, 3.135788917541504, 2.907196044921875, 2.9869918823242188, 2.593167543411255, 3.1532092094421387, 2.690723419189453, 2.9638047218322754, 2.86875319480896]",1005160
"[1970428, 4872671, 1079680, 1794620, 1061118, 1027191, 1009257, 2271582, 1082162, 1292416, 1017143, 2143304, 1059406, 1770782, 3326892, 1228110, 2250587, 1529893, 1021193, 1062193, 2171321, 4011440, 1794844, 4113090, 1039487, 1917078, 1002299, 4112874, 1070441]","[3.006822109222412, 2.7594754695892334, 2.7390644550323486, 3.3867597579956055, 3.48771333694458, 3.6943488121032715, 3.2257027626037598, 3.011777639389038, 2.4942150115966797, 2.976541042327881, 2.9775094985961914, 2.9749207496643066, 2.771878957748413, 3.1737098693847656, 2.790872812271118, 3.3300724029541016, 3.129281997680664, 2.753702163696289, 3.419259548187256, 2.831973075866699, 3.4235424995422363, 2.736799716949463, 2.886563301086426, 3.1016039848327637, 2.877795457839966, 3.5210745334625244, 3.1053600311279297, 2.845395088195801, 3.100919246673584]",1005588
"[1440589, 1039487, 1370274, 1066462, 1139726, 1205372, 1019568, 1213546, 1089517, 1046265, 1082578, 1418297, 1021615, 1798557, 1812618, 1364773, 1440468, 1016204, 1013129, 1082387, 1329941, 1873231, 1474688, 1388169, 1009257, 1003284, 1076045]","[2.7469396591186523, 2.763864755630493, 2.3259477615356445, 2.3581974506378174, 2.4743528366088867, 2.643012046813965, 2.4303722381591797, 2.5330488681793213, 2.7846922874450684, 2.423917531967163, 2.650722026824951, 2.659623861312866, 2.47420072555542, 2.45723819732666, 2.191842794418335, 2.1983418464660645, 2.8238425254821777, 2.6203060150146484, 2.560774803161621, 2.6037230491638184, 2.4248576164245605, 2.8493409156799316, 2.3527274131774902, 2.7784032821655273, 3.3280961513519287, 2.6480116844177246, 2.4463205337524414]",1005943
"[1011662, 1024217, 1060117, 1065970, 1794620, 1000323, 2032117, 1396339, 1016486, 3124525, 1056733, 1049354, 3181927, 3010130, 1082582, 3344676, 1017143]","[3.1165213584899902, 3.285688638687134, 3.4017887115478516, 2.964351177215576, 3.562497615814209, 3.619863510131836, 3.581641435623169, 3.8037166595458984, 3.2014334201812744, 3.5455756187438965, 3.535794496536255, 3.723459243774414, 3.716374397277832, 3.3756163120269775, 3.3451170921325684, 3.557241678237915, 3.2934322357177734]",1005990
"[1077528, 1255624, 3813669, 1032645, 3616310, 1255625, 2082194, 1019568, 1858576, 1052380, 1040771, 1968643, 1867642, 2035162, 3609132]","[2.896094799041748, 2.91865611076355, 3.176687002182007, 2.9593496322631836, 3.115239143371582, 3.3867857456207275, 3.7166695594787598, 3.0530478954315186, 3.1627418994903564, 2.995027542114258, 3.224106550216675, 2.8684394359588623, 2.96522855758667, 3.0752530097961426, 3.3043038845062256]",1006536
"[1049477, 2256438, 1000482, 1089518, 1089512, 1803022, 1212893, 1029791, 1470158, 1049219, 1018577, 1076045]","[2.8329508304595947, 2.2914881706237793, 2.8563032150268555, 2.412130832672119, 2.8629212379455566, 2.7437596321105957, 2.7824485301971436, 2.524444103240967, 2.608851432800293, 2.667123556137085, 2.6778345108032227, 2.784397602081299]",1006770
"[1013208, 3801097, 1020961, 1008074, 3181927, 1758767, 2336093, 4238362, 1041616, 4885241, 3053207, 1310164, 1963912, 1228110, 4074636, 1018136, 1022238, 1777823, 1394364, 3537590, 1025753, 2340100, 1456831]","[3.5944647789001465, 3.36500883102417, 4.066765308380127, 3.1266374588012695, 3.593508720397949, 3.4719371795654297, 3.419046401977539, 4.22357702255249, 3.4884181022644043, 3.6602296829223633, 3.5983669757843018, 3.5887842178344727, 3.735398769378662, 3.978572130203247, 3.8418989181518555, 3.4848599433898926, 3.858640432357788, 3.6745309829711914, 4.095777988433838, 3.5147743225097656, 3.9475295543670654, 3.853292942047119, 3.291611433029175]",1007826
"[1040397, 1424694, 1475048, 1440992, 1926700, 1439216, 1346815, 1000856, 1467535, 1882933, 1007914, 1440468, 1914083, 1019568, 2067299, 3801097, 1369777, 1829836, 2253642, 1485495, 3009821, 1481362, 1062326, 2243692, 1336968, 2265312]","[2.9544756412506104, 3.8248302936553955, 3.0247690677642822, 3.416055202484131, 2.883758544921875, 3.1478588581085205, 3.4072799682617188, 3.177577018737793, 3.058199405670166, 3.339305877685547, 3.406526565551758, 2.931851863861084, 3.228909492492676, 3.1345880031585693, 3.0939462184906006, 2.940990686416626, 3.3058900833129883, 2.6528866291046143, 3.001234531402588, 3.4090943336486816, 3.3881707191467285, 3.0189764499664307, 2.687936305999756, 2.9641566276550293, 3.0232787132263184, 3.1897573471069336]",1007939
"[1008357, 2034893, 1794844, 1007305, 1029111, 1005918, 2253753, 1789837, 1066165, 1382838]","[2.0653085708618164, 2.4969611167907715, 2.2119758129119873, 2.261387348175049, 2.117824077606201, 2.314790725708008, 2.1621158123016357, 2.0815887451171875, 2.5247793197631836, 2.1932482719421387]",1008158
"[1039487, 1012203, 1009257, 1367458, 1082399, 1082150, 1082584, 1337303, 1041007, 1024217, 1082173, 1361263, 1367964, 1358416, 1084336]","[2.9867796897888184, 2.463164806365967, 3.2584187984466553, 2.62748122215271, 2.8163766860961914, 2.693328380584717, 2.5618512630462646, 2.808048725128174, 3.2341413497924805, 2.7195394039154053, 2.7719273567199707, 2.9395222663879395, 2.8013575077056885, 2.699061870574951, 2.68099308013916]",1008977
"[1046265, 1291809, 1022238, 1370274, 1119522, 1391191, 1812895, 1072842, 1020959, 1027247, 1073708, 1065970, 1007772, 1012489, 1770782, 1012032, 1019568, 1485495, 1024217, 1085883, 1016003]","[2.9163994789123535, 3.1246705055236816, 2.8143107891082764, 2.997377395629883, 3.0278635025024414, 3.1953186988830566, 3.6162548065185547, 3.066892623901367, 3.785673141479492, 3.0920825004577637, 2.9926295280456543, 2.6688246726989746, 3.346179485321045, 2.8610644340515137, 3.0836405754089355, 3.1152915954589844, 3.1464903354644775, 3.155388593673706, 2.9034528732299805, 2.9122490882873535, 2.78574800491333]",1009133
"[1291809, 1039752]","[3.0970382690429688, 3.038147449493408]",1009141
"[1440101, 1021847, 1470158, 1367458, 1394364, 1358873, 1031575]","[3.073040008544922, 2.91485595703125, 3.129307270050049, 3.029782772064209, 3.423306465148926, 2.8128368854522705, 3.1684985160827637]",1009530
"[1082150, 1003479, 1027191, 1019568, 1029553, 1061118, 1927782, 1006560, 1079509, 1045818, 1867642, 1059336, 1041482, 1084973, 1004088]","[3.153878688812256, 2.7009263038635254, 3.4814372062683105, 2.83686900138855, 3.3055176734924316, 3.2630372047424316, 2.7209205627441406, 2.803725242614746, 2.768078088760376, 2.8972129821777344, 2.9338431358337402, 2.693086624145508, 2.7735164165496826, 3.2041945457458496, 2.935591697692871]",1009630
"[1029111, 1382829, 2160292, 1807516, 1040771, 1485225, 1090043, 2042063, 1082399, 1050743, 1046265, 1851385, 1818347, 1255598, 3713327, 1465324, 1018577, 3053207, 4885241, 1082398, 2036345, 1786670, 1291809, 1212080, 1125186, 1032581]","[3.471299171447754, 3.9152839183807373, 3.327406406402588, 3.612694025039673, 3.2425379753112793, 3.616867780685425, 3.6757447719573975, 3.093719005584717, 3.1693007946014404, 3.53688383102417, 3.4617486000061035, 3.1275486946105957, 3.809023857116699, 3.444406747817993, 3.858527898788452, 3.3193984031677246, 3.276724338531494, 3.356816530227661, 3.369748592376709, 3.610957622528076, 3.427084445953369, 3.5066843032836914, 3.368770122528076, 3.921696662902832, 3.373033046722412, 3.6355767250061035]",1009865
"[1000856, 1391191, 1067907, 3010130, 1079440, 1048610, 2161892, 1020670, 2214350, 3259440, 1062193, 1032645, 1039752, 1401425, 3995526, 1019428, 1045466, 3865832, 1939182, 1346815, 2256438, 1159939, 1084973, 2160292, 1032431, 1041482, 1059537]","[2.8351893424987793, 3.0069708824157715, 3.253082752227783, 2.870962142944336, 2.7671713829040527, 2.5761256217956543, 3.0032663345336914, 3.286344528198242, 2.600191593170166, 3.295231342315674, 3.2295758724212646, 3.1205153465270996, 2.8591575622558594, 2.8758673667907715, 3.2064576148986816, 2.9486770629882812, 2.8908915519714355, 2.895536184310913, 3.1439037322998047, 3.094106674194336, 2.489208459854126, 3.0613231658935547, 2.7017829418182373, 2.987964153289795, 3.0455069541931152, 3.0843632221221924, 2.620588779449463]",1009934
"[1382838, 2250587, 1382840, 1418180, 1014578, 1008732, 1205054, 1382833, 2345727, 1758767, 1467776, 1020961, 1770782, 1033190, 1781120, 1015452, 3369600, 3333989, 1941558, 1082399, 1004322, 3662594, 1426971]","[2.294839382171631, 2.483358383178711, 2.5816330909729004, 2.1891965866088867, 2.4911441802978516, 2.6057920455932617, 2.26999568939209, 2.3725500106811523, 2.1070241928100586, 2.5565185546875, 2.657834053039551, 2.7974507808685303, 2.3663995265960693, 2.50573468208313, 2.5778729915618896, 2.6341257095336914, 2.9734621047973633, 2.231166362762451, 2.4813079833984375, 2.458380699157715, 1.98763108253479, 2.315314769744873, 2.5751261711120605]",1010001
"[1064271, 1401425, 1424741, 1000280, 1020959, 1044316, 1059419, 1002299, 1902628, 1903968, 1082162, 1464989, 2256438, 1024197, 1017143, 2988943, 3608170, 1400705, 2123957, 2294993, 1033825, 1529893, 1291355, 1848256, 1047719, 1065970, 1039752, 1003284, 1859140, 3642673]","[2.515472412109375, 2.5096487998962402, 2.306835651397705, 2.532021999359131, 2.639716148376465, 2.5136303901672363, 2.3010454177856445, 2.392657518386841, 2.889913558959961, 2.540665626525879, 2.3207361698150635, 2.315835475921631, 2.1847567558288574, 2.197390556335449, 2.3157095909118652, 2.7020974159240723, 2.047692060470581, 2.292003631591797, 2.0936684608459473, 2.6068921089172363, 2.241177797317505, 2.5949208736419678, 2.3628737926483154, 2.632441997528076, 2.6775150299072266, 2.020480155944824, 2.516371726989746, 2.198535919189453, 2.536726236343384, 2.3149306774139404]",1010310
"[1027247, 3053207, 1040771, 1052203, 1035326, 1008145, 1020961, 1023045, 3713327, 3615061, 1056023, 2242467, 1082138, 3259440, 3865832]","[2.962599992752075, 2.7838854789733887, 3.0497050285339355, 3.287118673324585, 3.087739944458008, 2.969585418701172, 3.048516035079956, 3.359973907470703, 3.4705636501312256, 3.1676485538482666, 2.626703977584839, 2.741995096206665, 2.498831272125244, 3.2220659255981445, 2.693328857421875]",1010812
"[1032645, 1033190, 1056868, 1037954, 2070012, 1474842, 1763809, 1424555, 2250587, 1082578, 1330009, 1019338, 1080687, 1009257, 1060117, 1421921, 1329941, 1370274, 1458186, 1322248]","[2.830016851425171, 2.820349931716919, 3.2897520065307617, 2.7552099227905273, 2.8737130165100098, 2.797854423522949, 2.797266960144043, 2.543430805206299, 2.981771469116211, 3.0873703956604004, 2.8794167041778564, 2.9062721729278564, 2.956298828125, 3.210549831390381, 2.6220879554748535, 3.0960028171539307, 2.522939682006836, 3.052509307861328, 3.152801513671875, 2.9705824851989746]",1010888
"[1029159, 1458164, 1312333, 1013502, 1036490, 1786670, 1007305, 2133254, 1949338, 1024217, 1868698, 1000482, 1330009, 1358873, 1794844, 1310164, 1213546, 3616310, 1044316]","[2.494601249694824, 3.008774995803833, 2.8288087844848633, 2.7330551147460938, 2.703793525695801, 2.6755592823028564, 3.165555953979492, 2.8138933181762695, 2.579096555709839, 2.6887760162353516, 2.478731155395508, 2.8744003772735596, 2.619452953338623, 2.593967914581299, 3.1690070629119873, 2.579669713973999, 2.6909382343292236, 2.829728126525879, 2.2738237380981445]",1010915
"[1981355, 1212894, 1058661, 1024701, 1264579, 1015699]","[2.50506854057312, 2.2082107067108154, 2.2136263847351074, 2.179426670074463, 2.172173500061035, 2.4047796726226807]",1010923
"[2160292, 2214350, 1090043, 1794202, 1052360, 1068920]","[2.8461873531341553, 2.5563342571258545, 2.954943895339966, 2.73353910446167, 2.762238025665283, 2.6919140815734863]",1011382
"[1090043, 1082387, 1200840, 1770782, 1125186, 1049348, 5363767, 1914572, 1022238, 1203426, 2082194, 1767945, 1703544, 1057244, 1452923, 2143732, 1003000, 2243692]","[3.241682529449463, 3.3124217987060547, 3.0541610717773438, 3.1825647354125977, 3.232206344604492, 2.9888434410095215, 3.187044143676758, 3.1026344299316406, 3.1274051666259766, 3.1688132286071777, 3.5170936584472656, 2.907355785369873, 2.690113067626953, 3.3392996788024902, 2.9068708419799805, 3.168807029724121, 3.476004123687744, 2.8500547409057617]",1012679
"[1312333, 1023658, 1361258, 1367964, 2033081, 1082154, 3012517]","[3.363701820373535, 2.9458999633789062, 3.010674476623535, 3.1188206672668457, 3.7126235961914062, 3.2433652877807617, 3.379697322845459]",1012762
