user_id,rec_list
1002351,"['1059419', '4113090', '1056733', '1054685', '1018136', '1367458', '1389960', '1080309', '1255624', '1449352']"
1003151,"['1068920', '1067907', '1201821', '3010133', '2032117', '1075495', '1078554', '1291809', '1061118', '3013903']"
1003843,"['1027191', '3315879', '1781120', '1258490', '1046265', '1056315', '1020961', '1032645', '1090043', '1270508']"
1005070,"['1003284', '1062134', '1152701', '1052380', '1012039', '1085860', '1082582', '1069685', '1090043', '1212893']"
1005160,"['1046265', '1090043', '2257188', '1291809', '2250587', '1255625', '1047851', '1039752', '1017143', '1028916']"
1005588,"['1027191', '1917078', '1061118', '2171321', '1021193', '1794620', '1228110', '1009257', '1770782', '2250587']"
1005943,"['1009257', '1873231', '1440468', '1089517', '1388169', '1039487', '1440589', '1418297', '1082578', '1003284']"
1005990,"['1396339', '1049354', '3181927', '1000323', '2032117', '1794620', '3344676', '3124525', '1056733', '1060117']"
1006536,"['2082194', '1255625', '3609132', '1040771', '3813669', '1858576', '3616310', '2035162', '1019568', '1052380']"
1006770,"['1089512', '1000482', '1049477', '1076045', '1212893', '1803022', '1018577', '1049219', '1470158', '1029791']"
1007826,"['4238362', '1394364', '1020961', '1228110', '1025753', '1022238', '2340100', '4074636', '1963912', '1777823']"
1007939,"['1424694', '1440992', '1485495', '1346815', '1007914', '3009821', '1882933', '1369777', '1914083', '2265312']"
1008158,"['1066165', '2034893', '1005918', '1007305', '1794844', '1382838', '2253753', '1029111', '1789837', '1008357']"
1008977,"['1009257', '1041007', '1039487', '1361263', '1082399', '1337303', '1367964', '1082173', '1024217', '1358416']"
1009133,"['1020959', '1812895', '1007772', '1391191', '1485495', '1019568', '1291809', '1012032', '1027247', '1770782']"
1009630,"['1027191', '1029553', '1061118', '1084973', '1082150', '1004088', '1867642', '1045818', '1019568', '1006560']"
1009865,"['1212080', '1382829', '3713327', '1818347', '1090043', '1032581', '1485225', '1807516', '1082398', '1050743']"
1009934,"['3259440', '1020670', '1067907', '1062193', '3995526', '1939182', '1032645', '1346815', '1041482', '1159939']"
1010001,"['3369600', '1020961', '1467776', '1015452', '1008732', '1382840', '1781120', '1426971', '1758767', '1033190']"
1010310,"['1902628', '2988943', '1047719', '1020959', '1848256', '2294993', '1529893', '1903968', '1859140', '1000280']"
1010812,"['3713327', '1023045', '1052203', '3259440', '3615061', '1035326', '1040771', '1020961', '1008145', '1027247']"
1010888,"['1056868', '1009257', '1458186', '1421921', '1082578', '1370274', '2250587', '1322248', '1080687', '1019338']"
1010915,"['1794844', '1007305', '1458164', '1000482', '3616310', '1312333', '2133254', '1013502', '1036490', '1213546']"
1012679,"['2082194', '1003000', '1057244', '1082387', '1090043', '1125186', '5363767', '1770782', '1203426', '2143732']"
1013504,"['1047447', '1848256', '4113090', '1882933', '2143304', '1201821', '2133556', '1071794', '4741216', '1011754']"
1013820,"['1015403', '1025723', '1008988', '1201821', '1045818', '1084336', '1084082', '1758767', '3609132', '1844629']"
1013850,"['1084973', '3181927', '5275059', '4886245', '1152701', '1438461', '2256438', '1030052', '1453210', '1937939']"
1013918,"['1343089', '1926103', '1255625', '1898609', '1002299', '1028409', '2022979', '1389960', '1180108', '2149655']"
1013967,"['1200840', '1089521', '1059419', '1186392', '1063190', '1070851', '1878708', '1078554', '1033825', '1016063']"
1014251,"['1812895', '1257365', '1032581', '1026686', '1082406', '1012039', '1002898', '1343089', '1186350', '1070441']"
1014603,"['1209899', '3369600', '1812439', '3995526', '1827374', '3014576', '1456597', '1281622', '3017857', '2297706']"
1014733,"['1020241', '1322025', '1361263', '1084082', '1026425', '1060068', '1361264', '1057206', '1070851', '1067907']"
1015798,"['1382836', '2257188', '1382829', '2003526', '1059406', '1084336', '1009160', '1367964', '1045247', '1048610']"
1015866,"['3162513', '1027191', '1258490', '1041482', '1805514', '2297786', '1036274', '2139305', '1827374', '1023048']"
1016278,"['1028404', '1200840', '2129427', '1067907', '1915337', '1316648', '1013502', '1012637', '3608235', '1017841']"
1016822,"['1474688', '1033825', '1084336', '1212152', '1438461', '1449348', '1449352', '1052360', '1085883', '1917972']"
1017286,"['3259440', '1419841', '4714734', '3713327', '2062200', '1292416', '1420862', '2243692', '1596305', '1036067']"
1017464,"['1424373', '2250587', '1059112', '1015767', '1775691', '1789837', '1057197', '1867064', '1023709', '1004322']"
1017837,"['1389960', '1025723', '1006560', '1422833', '1949338', '1026036', '3274113', '2253642', '1775691', '2201813']"
1019665,"['1061118', '1017143', '2022979', '3266344', '1067907', '1024701', '1090043', '3813669', '1056733', '1082154']"
1020922,"['2250587', '4886245', '1858513', '1214898', '1125186', '3080607', '2280027', '1330009', '2022979', '1014533']"
1021394,"['3646172', '3102324', '1056315', '1039752', '4074636', '1227838', '1003284', '2294993', '1361264', '1084336']"
1021985,"['1040211', '1001885', '1892491', '1794620', '1067907', '1068920', '1401425', '1023045', '1011882', '1449661']"
1022161,"['3369600', '1025723', '2035179', '1041482', '1382829', '1082154', '1212893', '1291809', '1008357', '1019428']"
1023161,"['1014578', '2253642', '4010969', '1026036', '1054685', '3311009', '1793132', '1263399', '1424741', '1024197']"
1026383,"['1027191', '1848256', '2250587', '3103080', '4742918', '1420862', '3140801', '1030052', '1431836', '5385852']"
1028667,"['3369600', '2067299', '2118032', '1291809', '2250587', '1485495', '1449661', '1080687', '1867064', '1963912']"
1029733,"['1047447', '1915337', '1041482', '1159939', '1358873', '1361264', '1903968', '1022238', '1367458', '1000594']"
1030536,"['1020959', '2295324', '1863930', '1000323', '1013225', '1030200', '1017143', '1023045', '1011754', '1449352']"
1030739,"['1005660', '1040211', '1200840', '1440972', '1074841', '1805514', '1015452', '1013416', '1016063', '3053207']"
1031461,"['2361768', '2363651', '2282081', '1075495', '1015584', '1049354', '1004956', '1011882', '1358413', '1046172']"
1031534,"['1161852', '1080370', '1028693', '1085860', '1043579', '1440468', '1009160', '1040771', '1082154', '1045818']"
1032428,"['1034067', '1052203', '1011754', '1051797', '1066165', '1039752', '1008988', '1039487', '1000517', '1035362']"
1032655,"['1859140', '1087145', '1441869', '3344676', '1088581', '1058234', '5363767', '1203426', '1077528', '1064275']"
1032860,"['1863930', '2567698', '1020241', '1071241', '3344676', '1075538', '1046492', '2294993', '1985223', '1026425']"
1032862,"['1005918', '1082398', '1040211', '1011882', '1019568', '1089512', '1382829', '1432596', '1071241', '1054685']"
1033984,"['1220853', '1394364', '3181927', '1056868', '1012561', '1873231', '1025753', '4113090', '4112874', '1529893']"
1035406,"['1027191', '3392046', '1041482', '1044547', '2171321', '3259440', '1007305', '1474688', '1033190', '1220853']"
1036607,"['1053759', '1071241', '1015584', '1916726', '1084082', '1069059', '1316622', '1382833', '1926103', '1485225']"
1037226,"['2243213', '1082398', '1159939', '1083428', '1361263', '1337303', '1088581', '1382836', '1023500', '1030052']"
1037279,"['3259440', '1011882', '3211779', '1125186', '1080309', '4742918', '1867064', '1424373', '1063190', '1072842']"
1037453,"['1003000', '2567698', '1731370', '2082194', '3211779', '1085470', '3162513', '1085860', '1089512', '1008145']"
1037472,"['1396339', '1035146', '1873231', '1008732', '3713327', '4113090', '1039752', '3394338', '3246904', '2160292']"
1037576,"['2253642', '3259440', '1064275', '1084336', '1008988', '1794844', '1200840', '1013225', '1281622', '1029111']"
1038634,"['1034067', '1033190', '2996596', '1102403', '1050175', '1089243', '1264579', '1089518', '1021273', '1028409']"
1038886,"['3392046', '1082154', '1767388', '1032645', '1056868', '1439894', '2118032', '1070441', '3181927', '1394253']"
1039533,"['1257365', '1007305', '1396339', '1781120', '1089517', '1031741', '1089512', '1258490', '1878708', '1474842']"
1039814,"['1041007', '1089518', '1159939', '1010464', '1082518', '1084336', '1013129', '3010130', '1770782', '1400707']"
1040251,"['1005660', '1424694', '1044203', '1417905', '1758767', '1090043', '1012039', '1030153', '1322248', '1038267']"
1041833,"['1072438', '1433050', '1041482', '1015699', '1056733', '5385852', '1941558', '1051797', '1401425', '3642673']"
1042606,"['1025723', '2567698', '1066165', '3211779', '1010464', '1212893', '1060068', '1228110', '3053207', '2053249']"
1042670,"['1015403', '1023048', '1002299', '1316648', '1084973', '1075492', '1029553', '1818347', '1071241', '1807516']"
1043112,"['1047447', '1312333', '1080370', '1059419', '1440345', '3344676', '1212080', '1331571', '1049219', '1046265']"
1043248,"['1827702', '1396339', '1007305', '3995526', '2008284', '1020241', '3315879', '4238362', '1316648', '1009257']"
1043300,"['1186392', '1077497', '1044547', '1089512', '3369600', '1212894', '1029553', '1082582', '1417905', '2988943']"
1043408,"['2295163', '1010362', '1075743', '2070844', '1985223', '1085860', '1767388', '4010969', '1082387', '1918734']"
1043435,"['1812895', '1049688', '1070441', '1009459', '1212152', '1058234', '1400717', '1856285', '1002898', '1013001']"
1043538,"['2171321', '1000323', '1015584', '1016063', '1358416', '1012203', '1963786', '1029159', '1281622', '1021425']"
1044037,"['1009257', '1419841', '1041007', '1581547', '1070441', '1424694', '1077847', '1337303', '1082398', '1014578']"
1044221,"['1044547', '4238362', '1361264', '1084336', '1021847', '2257188', '1026425', '3010133', '2139305', '2297786']"
1044252,"['1346815', '1458192', '1077497', '1012637', '1001193', '1030469', '1066462', '1467333', '1051363', '1036243']"
1044920,"['1322158', '3392046', '1270508', '4009552', '1066462', '1030052', '1212152', '1020959', '1046172', '1440345']"
1045191,"['2257609', '1337297', '1389960', '1485224', '1949338', '1008145', '1481362', '1009393', '1970428', '1418180']"
1045477,"['1939182', '2082194', '1075492', '1013208', '3012517', '1970428', '1088581', '3259440', '1916726', '1084336']"
1045588,"['1028404', '1020959', '1009257', '3905366', '2082194', '1084973', '1054685', '1346815', '1316648', '1043008']"
1045794,"['1464989', '1032645', '3211779', '1767388', '3646172', '1346815', '2139305', '1032581', '1261153', '1086249']"
1046060,"['4742918', '1257365', '1033997', '2363651', '1794620', '3010133', '1758767', '1918734', '1917078', '1039752']"
1047770,"['1028270', '1085860', '1015699', '1082387', '1089517', '1031741', '1440972', '1001885', '1255625', '1043008']"
1048262,"['1056315', '1257365', '1015584', '1041482', '1433700', '1082582', '1074841', '1044663', '1001885', '1070441']"
1048667,"['1007305', '1005918', '1212893', '1017841', '1037602', '1082399', '1002299', '1046265', '1019568', '1007772']"
1048750,"['1008145', '1041007', '1035146', '1015452', '1079440', '1043008', '1020961', '1052828', '1000856', '1090043']"
1049139,"['1082387', '1024854', '1041007', '1076045', '1012489', '1070851', '1009160', '1052380', '1223575', '1024217']"
1049181,"['1056295', '1812439', '1322158', '1882933', '1084336', '3009033', '1047851', '1938591', '1424741', '2115040']"
1049746,"['1082398', '1261153', '2022979', '1087145', '3344676', '1046172', '1009160', '1346815', '1856285', '1329941']"
1050726,"['1078554', '1075495', '3392046', '2256039', '1076045', '1089243', '1023709', '1015767', '1013129', '1119522']"
1050948,"['1023048', '2567698', '1057244', '1192090', '3010133', '1056733', '1424373', '3813669', '1070851', '1453210']"
1052099,"['1027191', '1396339', '1159939', '3369600', '1023045', '1068920', '3369793', '1007914', '1369776', '1458186']"
1052440,"['1201821', '1394364', '1051363', '2143304', '1002299', '1346815', '1084336', '4113090', '1310164', '1449351']"
1053423,"['1009257', '1046175', '1057244', '1770782', '1440589', '1051797', '1005279', '1052828', '2008284', '2295163']"
1054427,"['3646172', '1045247', '1002299', '1051797', '1388169', '1780565', '1948901', '1882933', '1070685', '1074841']"
1054807,"['3344676', '1898609', '2382705', '3181927', '2070012', '1941558', '1030153', '1529893', '1029159', '3191328']"
1055018,"['1018136', '1056868', '1941301', '2256039', '1002299', '1476651', '1919072', '4238362', '2297786', '1050339']"
1055487,"['3608208', '1770782', '3813669', '1083477', '3547099', '1089243', '1014578', '4885241', '1200840', '1020961']"
1057190,"['4742918', '1481371', '1027191', '1047447', '1848256', '1070441', '1023048', '1020959', '1056461', '1015699']"
1058559,"['4009552', '3259440', '1255598', '2257188', '3879301', '1059419', '1060117', '3071717', '1291760', '3323987']"
1059078,"['1036684', '1011882', '1029791', '1794844', '1070441', '1775691', '1018153', '1016063', '1026425', '1424373']"
1059290,"['1848256', '1020959', '1039752', '1291809', '1019428', '1062193', '1941301', '1212152', '2297697', '1059419']"
1059369,"['1051797', '2567698', '1001885', '1401841', '1023048', '1015699', '1949068', '1001193', '2297786', '1057244']"
1059419,"['1040211', '1207819', '2295324', '2256039', '1044547', '1322328', '3080607', '2160556', '1016523', '1090043']"
1059598,"['3369600', '1400705', '2256039', '1058234', '2250587', '1082399', '4885241', '1019485', '1344548', '1212152']"
1060557,"['2988943', '1009931', '2295163', '2280027', '1794844', '1071241', '1092149', '3326892', '2243692', '1941558']"
1060832,"['1023709', '1083428', '1082154', '1060117', '1141406', '1059419', '1047138', '1025336', '1006881', '1087758']"
1060869,"['1005660', '3259440', '3181927', '1033190', '1458164', '1067907', '1025753', '1316648', '1052203', '4112874']"
1061101,"['2567698', '1907739', '1026317', '2250587', '1008145', '2154960', '1394364', '2143732', '1059419', '2053249']"
1061129,"['2082194', '1926103', '1916726', '1030052', '1914572', '1087145', '1471391', '4886245', '5275059', '1026425']"
1061451,"['1072438', '3187737', '3140801', '1805514', '1440972', '1758767', '3813669', '1023045', '3006581', '2035162']"
1061596,"['1027247', '1432596', '1002299', '1016486', '1056461', '1051797', '1400705', '1090043', '1005521', '1382833']"
1061781,"['1467776', '1292416', '1440972', '1015767', '1030153', '1067907', '1000517', '1417905', '1081422', '1529893']"
1061873,"['1003000', '1070441', '2250587', '1941301', '1882933', '1336968', '1064275', '2295163', '1796596', '3009033']"
1062186,"['3995526', '2253642', '3813669', '3621252', '3672237', '2143732', '2363651', '4885241', '3662594', '2267883']"
1062364,"['1072438', '1041616', '1012561', '1044663', '1028404', '1204889', '1013502', '1000445', '1401425', '2081876']"
1064257,"['1014578', '1051797', '1020241', '3369793', '1020459', '1344548', '1456597', '1427679', '1761056', '1080687']"
1064610,"['1051797', '1292416', '1015584', '1358873', '1878708', '1396339', '1059937', '1024217', '1361264', '1361249']"
1065346,"['1044547', '2253642', '1986590', '1975797', '2243692', '1023045', '1007928', '1257365', '3181927', '1223575']"
1065421,"['1060068', '1907739', '1071241', '1581547', '1212893', '1005918', '1389960', '1080309', '1051193', '1400707']"
1065695,"['1008732', '1083474', '1049688', '1919201', '1089523', '1485225', '2133254', '1036490', '1058234', '1025721']"
1065754,"['1051797', '1394433', '1002299', '1322248', '2295324', '1032431', '2161892', '1794844', '1770782', '1986590']"
1066351,"['3369600', '1006560', '3009821', '1082154', '3813669', '1044547', '1020961', '1056868', '1467535', '1449348']"
1066866,"['3259440', '1200840', '1056733', '1041482', '1316648', '1853323', '1212080', '1022060', '1419736', '1020670']"
1067364,"['1007914', '1200840', '1046265', '1068920', '1002299', '2295163', '1337303', '1775691', '1119522', '1068308']"
1067436,"['3608208', '1085860', '2243213', '3010133', '1016806', '1059937', '1004992', '1441707', '1255625', '2042966']"
1067641,"['1228110', '1011754', '1848256', '1014578', '1089523', '1088581', '1013502', '1018577', '1019568', '1043815']"
1067818,"['1015403', '4238754', '1322158', '3211779', '2256039', '3344676', '4009552', '1255625', '1873231', '3010130']"
1068205,"['1015403', '1008732', '1420862', '1059112', '1033190', '2363651', '3181927', '4238362', '1021847', '1020959']"
1069050,"['1007914', '3392046', '1082406', '1089243', '1433640', '1812895', '1794620', '1083428', '1090043', '2034893']"
1069873,"['4749115', '1056315', '1483522', '1884249', '2118032', '1949068', '1424741', '2340955', '2382705', '2275502']"
1070319,"['2567698', '1394433', '2154960', '1060117', '1257365', '1209899', '1421921', '1027247', '1009393', '1882933']"
1070656,"['2062200', '2034893', '1925218', '3246230', '1082154', '1028916', '1084336', '3274851', '1312333', '1059336']"
1071217,"['2361768', '1015403', '1052203', '2061644', '1047138', '1029553', '1018577', '1203426', '1432596', '1068308']"
1071544,"['1015403', '1023048', '1014578', '1915337', '1264579', '1255288', '1020961', '1949068', '2035162', '1067907']"
1071548,"['2063819', '1071241', '1316648', '1581547', '1030052', '1529893', '1369777', '1959786', '1455933', '1180102']"
1072076,"['1089521', '1025176', '2143304', '1859140', '1786670', '1017143', '2008284', '1547265', '1464716', '1948502']"
1073977,"['1059937', '1003000', '1344548', '2150240', '1003078', '1449661', '3678694', '1465324', '1021425', '1963912']"
1074089,"['1432596', '1007914', '3181927', '1316648', '1030052', '1382829', '1008732', '1794620', '4113090', '1059419']"
1074138,"['2257609', '1072438', '1060774', '1209899', '1916726', '1029553', '1015584', '1059336', '1013416', '1007305']"
1074269,"['1916726', '1456034', '1878708', '1083428', '1029553', '1013129', '1024217', '1203244', '1024197', '1449351']"
1075139,"['1033997', '2160292', '1043579', '2230208', '1080687', '2331434', '2119843', '1470158', '1029159', '2284090']"
1075231,"['1007305', '1439894', '1258490', '2326403', '1919072', '2143304', '1070851', '2336093', '1456034', '2170629']"
1075526,"['1007305', '3646172', '2297697', '1021847', '1432596', '1474842', '2257188', '1051797', '1071241', '1312333']"
1077447,"['3191044', '2295324', '1082154', '2143732', '3102324', '1781120', '2297706', '1221515', '1937939', '1464716']"
1077570,"['3713327', '1214898', '1915337', '1008357', '1014825', '1006560', '1072319', '4009552', '1433659', '1221515']"
1077952,"['1005660', '1027191', '1015403', '3995526', '1346815', '1420862', '1035146', '3012517', '1082150', '1089512']"
1078020,"['3211779', '1049354', '1085860', '3662594', '2082194', '1917078', '1029553', '1449348', '1321017', '1949068']"
1078107,"['3344676', '1400705', '1228110', '1033190', '2250587', '4886245', '4010969', '2161892', '4112874', '1914572']"
1078544,"['1424694', '1059419', '2070012', '1023045', '1346815', '1322248', '1056868', '1011882', '1025753', '1090043']"
1078594,"['1000323', '1101607', '1030052', '1051797', '1030153', '1281622', '1029159', '1358873', '1032945', '1019428']"
1078736,"['1080370', '1049190', '1369776', '1030052', '1009257', '1070441', '1440992', '1391191', '1085470', '3290010']"
1078855,"['1337303', '1071794', '1059112', '1370274', '2360269', '5363767', '1140727', '1927782', '1330096', '1002898']"
1079787,"['1036274', '1002299', '1975797', '1963786', '1090043', '1962929', '1001193', '1947471', '1916726', '1613372']"
1080694,"['3259440', '1291809', '1458164', '1064828', '1002299', '3140801', '1382836', '1049477', '1017839', '1082334']"
1081597,"['4742918', '1257365', '1063245', '1000517', '1045466', '1040104', '1020241', '1851385', '1321017', '1059112']"
1081857,"['3813669', '1192090', '1056315', '1077497', '1775691', '1316648', '1220853', '1015767', '1077528', '1767945']"
1081862,"['1794620', '1045247', '1346815', '1125186', '1863930', '1035326', '1001193', '1030052', '3609132', '1970428']"
1082043,"['1015584', '1151873', '1919072', '1002299', '1007928', '1008357', '1064275', '1022238', '1025723', '1027247']"
1082712,"['1212080', '4238362', '2034893', '4886245', '1848256', '1941558', '1141406', '2256438', '2295163', '1049219']"
1084513,"['3369600', '1007305', '1056461', '3609132', '1419841', '1067907', '3335362', '1021847', '1878708', '1013225']"
1085505,"['1424694', '1011754', '1015584', '1047447', '3187737', '1064271', '2250587', '1008145', '1999037', '1949925']"
1085710,"['1051797', '1007305', '3642673', '1080687', '1013225', '1023045', '1049190', '1032645', '1046265', '3369793']"
1085884,"['3646172', '1398395', '1200840', '4173403', '3615061', '4074636', '1050339', '4171951', '2340955', '1433700']"
1086968,"['1002299', '1316648', '1059537', '1075495', '1051440', '1013225', '1777823', '1050339', '1043815', '1026425']"
1086983,"['3369600', '1051797', '1058234', '1006073', '1033997', '1907739', '3642673', '2336093', '1858576', '1082578']"
1087136,"['1318427', '1863930', '1101607', '1079440', '1026686', '1045466', '1072319', '1054685', '1017839', '1021425']"
1087580,"['1059112', '1020961', '3369793', '1449348', '1003284', '1082154', '1858576', '1004821', '1860750', '1040771']"
1088423,"['3211779', '1008732', '2988943', '1015699', '4011440', '3259440', '3140801', '3013903', '3642673', '1003284']"
1088881,"['2032117', '1970428', '4886245', '2567698', '1424741', '2567919', '2180619', '1059406', '2139305', '1851385']"
1089465,"['1056315', '1346815', '1050743', '1070441', '1059937', '1023500', '1080370', '5366275', '1033190', '1927902']"
1089588,"['1085860', '1040211', '1049354', '2082194', '2034893', '3646172', '1015452', '1291809', '1008145', '1083428']"
1090308,"['2243213', '1143694', '3609132', '2139305', '4749115', '1008145', '1015767', '1000517', '1319345', '1082154']"
1090571,"['1863930', '2988943', '3995526', '1892491', '1034067', '1023045', '1046172', '1021425', '1261153', '1026411']"
1091321,"['1056868', '1938591', '1400705', '3646172', '3187737', '1401841', '1829226', '1003284', '5292912', '3009821']"
1091489,"['1581547', '1052203', '1388169', '2360269', '1000517', '1031575', '1358873', '1084336', '1014533', '1255624']"
1092048,"['1043579', '1056733', '1467333', '1045247', '1032945', '1322320', '1030469', '1004088', '1186392', '1255598']"
1092661,"['1770782', '1037602', '1023045', '1020961', '2988943', '1213546', '1012637', '1089509', '1089512', '1006560']"
1092786,"['4742918', '1089512', '1794620', '1433050', '1008145', '1400705', '1438461', '1457306', '1023045', '1892491']"
1092995,"['1056868', '1040211', '1015584', '1322025', '1119522', '1088022', '1069848', '1471391', '1087758', '1024701']"
1094061,"['3181927', '3344676', '2033081', '2194123', '1794620', '1015452', '1433640', '1878708', '3608235', '1008145']"
1094209,"['1011754', '1047719', '1007305', '1045818', '1007433', '1981355', '1003479', '1050743', '1061977', '1008145']"
1094328,"['2567698', '2326403', '1025753', '1041616', '1059419', '1346815', '1056733', '1002299', '4742918', '3335362']"
1094335,"['1007914', '1089523', '1186392', '1044547', '1125186', '1089517', '1075538', '1031741', '1049219', '1212893']"
1094486,"['1089521', '1440972', '1731370', '1082518', '1424741', '1051363', '1056023', '1089517', '1047138', '1020961']"
1095169,"['1003000', '1812895', '1084973', '1916726', '1008145', '1020459', '1024701', '2036343', '2193877', '2143732']"
1096224,"['1007305', '1059336', '1008145', '1017143', '1056868', '1020241', '1000482', '1041482', '1082522', '1141406']"
1096467,"['4742918', '1941558', '1013208', '1025176', '3642673', '2003526', '1066462', '1036490', '1025243', '4011440']"
1096479,"['1007914', '1873231', '1258490', '1000323', '1047447', '1077497', '1089517', '1008732', '2326403', '1035362']"
1097553,"['3012517', '1449352', '1344548', '1227838', '1475048', '1005521', '1529893', '1483522', '5317075', '2256438']"
1097738,"['2034893', '1008145', '4885241', '1848256', '3609132', '2053249', '2243213', '5385852', '1029791', '2033081']"
1098719,"['1027191', '1322158', '1043201', '3616310', '1023045', '1067907', '1028780', '1281622', '1255624', '1331571']"
1098869,"['2063819', '2567698', '3369600', '1767388', '1082387', '2143732', '2584971', '3609132', '4009552', '1818347']"
1100576,"['1040211', '1186392', '1203251', '1067907', '1212893', '1277981', '1012637', '1060117', '1013380', '1039487']"
1100632,"['1015403', '1057244', '1082173', '1401425', '3547099', '1336968', '1013380', '1072842', '1547265', '1283273']"
1100861,"['1015403', '1067907', '1082154', '1015584', '1085470', '1083428', '1012039', '1029159', '1082522', '1080309']"
1100962,"['1011754', '1017143', '1020128', '1084336', '2280027', '1085470', '2035162', '1941301', '1015767', '1221515']"
1103197,"['1420862', '1008145', '1056868', '1775691', '3009821', '1013001', '1070441', '3246904', '1028780', '3239824']"
1103364,"['1078554', '1044547', '1878708', '1021193', '1080370', '1927869', '1331571', '1937357', '1030153', '2280027']"
1105181,"['1047447', '1020959', '1046265', '1426971', '1070441', '1020241', '2988943', '2143304', '2257188', '1777823']"
1106323,"['1027191', '4238362', '1009257', '1007305', '1873231', '2256039', '1770782', '1200840', '1075495', '1082406']"
1106732,"['1057244', '1770782', '2256039', '1070441', '1346815', '1035477', '1426971', '1367458', '1119522', '1046209']"
1106949,"['1186392', '3615061', '1089515', '1068920', '1043008', '2242467', '1581547', '1212894', '1212080', '1032431']"
1107186,"['1071241', '3211779', '3187737', '4011440', '1459623', '2171321', '1291809', '1919072', '5363767', '3066477']"
1108461,"['3187737', '1422833', '1400705', '1291809', '1075743', '1102403', '1008357', '1440468', '1458186', '3010130']"
1109763,"['1019568', '1056315', '4885241', '1015452', '1083428', '1069059', '1052203', '1035477', '1039487', '1045818']"
1109854,"['3646172', '1066165', '2118032', '1346815', '1025176', '4011440', '1212080', '1059419', '1009393', '1432596']"
1110331,"['1089243', '1020459', '1529893', '1396339', '3091349', '1361264', '1476651', '1028409', '1028270', '1485495']"
1110718,"['3259440', '1082398', '4009552', '1084336', '3211779', '1159939', '1458164', '4074636', '1917972', '1082399']"
1111137,"['1066165', '1258490', '1061118', '1975797', '1008145', '1082154', '2297697', '1867642', '1040104', '1066462']"
1112179,"['1040211', '1061118', '1029553', '1263399', '1036274', '2295324', '1159939', '1067907', '1089243', '1005521']"
1112922,"['2035179', '1036274', '1007305', '1394433', '1090043', '1119839', '1030052', '5275059', '4886245', '1067907']"
1113171,"['2243213', '1020670', '2295163', '1012039', '1292416', '2280027', '1035146', '1400705', '2250587', '1028916']"
1113569,"['1033997', '1000482', '1058679', '1758767', '2061644', '1004821', '1040771', '1400707', '1917972', '1361249']"
1113703,"['1011754', '1863930', '1066165', '1775691', '2194123', '1041482', '1203426', '4113090', '1018136', '1082582']"
1114246,"['1089521', '1089523', '1089517', '1013225', '1033825', '1059112', '1089511', '1201821', '1080309', '1068308']"
1114594,"['2082194', '1041482', '1025723', '1019568', '1005918', '1873231', '1316648', '2309689', '1057206', '1424741']"
1115004,"['1082154', '3813669', '1001885', '1083428', '1056733', '2052448', '1949338', '1316648', '3246904', '3033668']"
1115667,"['1424694', '1805514', '1392604', '2063819', '1481371', '1999037', '1964044', '1465324', '1370274', '1226062']"
